time,TC,RH,CO2,RS
26/02/2020 0:00,16.9,69,533,37
26/02/2020 0:04,16.9,69,533,37
26/02/2020 0:04,16.9,69,536,37
26/02/2020 0:07,16.9,69,536,37
26/02/2020 0:13,17.2,68,536,37
26/02/2020 0:13,17.2,68,533,37
26/02/2020 0:16,17.2,68,533,37
26/02/2020 0:19,16.9,69,533,37
26/02/2020 0:19,16.9,69,531,37
26/02/2020 0:21,16.9,69,531,37
26/02/2020 0:23,16.9,69,531,37
26/02/2020 0:25,16.9,69,531,37
26/02/2020 0:25,16.9,69,536,37
26/02/2020 0:28,16.9,69,536,37
26/02/2020 0:30,16.9,69,536,37
26/02/2020 0:31,16.9,69,532,37
26/02/2020 0:33,16.9,69,532,37
26/02/2020 0:36,17,69,532,37
26/02/2020 0:36,17,69,527,37
26/02/2020 0:39,17,69,527,37
26/02/2020 0:41,16.9,69,527,37
26/02/2020 0:42,16.9,69,529,37
26/02/2020 0:44,16.9,69,529,37
26/02/2020 0:47,16.9,69,529,37
26/02/2020 0:47,16.9,69,533,37
26/02/2020 0:50,16.9,69,533,37
26/02/2020 0:53,17,69,533,37
26/02/2020 0:53,17,69,530,37
26/02/2020 0:56,17,69,530,37
26/02/2020 0:59,17.2,68,530,37
26/02/2020 0:59,17.2,68,531,37
26/02/2020 1:02,17.2,68,531,37
26/02/2020 1:05,17,69,531,37
26/02/2020 1:05,17,69,530,37
26/02/2020 1:08,17,69,530,37
26/02/2020 1:11,17.1,69,530,37
26/02/2020 1:11,17.1,69,526,37
26/02/2020 1:13,17.1,69,526,37
26/02/2020 1:16,17.3,69,526,37
26/02/2020 1:17,17.3,69,532,37
26/02/2020 1:20,17.3,69,532,37
26/02/2020 1:22,17.2,69,532,37
26/02/2020 1:22,17.2,69,530,37
26/02/2020 1:24,17.2,69,530,37
26/02/2020 1:27,17.2,69,530,37
26/02/2020 1:30,17.1,70,530,37
26/02/2020 1:30,17.1,70,528,37
26/02/2020 1:33,17.1,70,528,37
26/02/2020 1:36,16.9,69,528,37
26/02/2020 1:36,16.9,69,530,37
26/02/2020 1:39,16.9,69,530,37
26/02/2020 1:41,17,69,530,37
26/02/2020 1:42,17,69,530,37
26/02/2020 1:44,17,69,530,37
26/02/2020 1:47,16.9,69,530,37
26/02/2020 1:47,16.9,69,527,37
26/02/2020 1:50,16.9,69,527,37
26/02/2020 1:54,16.5,69,527,37
26/02/2020 1:55,16.5,69,528,37
26/02/2020 1:58,16.5,69,528,37
26/02/2020 2:01,16.7,69,528,37
26/02/2020 2:01,16.7,69,531,37
26/02/2020 2:05,16.7,69,531,37
26/02/2020 2:09,16.6,68,531,37
26/02/2020 2:09,16.6,68,526,37
26/02/2020 2:12,16.6,68,526,37
26/02/2020 2:15,16.4,69,526,37
26/02/2020 2:15,16.4,69,532,37
26/02/2020 2:18,16.4,69,532,37
26/02/2020 2:22,16.8,68,532,37
26/02/2020 2:22,16.8,68,530,37
26/02/2020 2:25,16.8,68,530,37
26/02/2020 2:29,16.9,68,530,37
26/02/2020 2:29,16.9,68,533,37
26/02/2020 2:32,16.9,68,533,37
26/02/2020 2:34,17.1,68,533,37
26/02/2020 2:34,17.1,68,530,37
26/02/2020 2:37,17.1,68,530,37
26/02/2020 2:39,17,69,530,37
26/02/2020 2:40,17,69,531,37
26/02/2020 2:43,17,69,531,37
26/02/2020 2:46,16.9,69,531,37
26/02/2020 2:46,16.9,69,531,37
26/02/2020 2:48,16.9,69,531,37
26/02/2020 2:50,16.9,69,531,37
26/02/2020 2:53,16.9,69,531,37
26/02/2020 2:53,16.9,69,529,37
26/02/2020 2:55,16.9,69,529,37
26/02/2020 2:58,17,69,529,37
26/02/2020 2:58,17,69,531,37
26/02/2020 3:02,17,69,531,37
26/02/2020 3:05,17,69,531,37
26/02/2020 3:05,17,69,527,37
26/02/2020 3:07,17,69,527,37
26/02/2020 3:10,17,69,527,37
26/02/2020 3:12,16.8,69,527,37
26/02/2020 3:13,16.8,69,525,37
26/02/2020 3:15,16.8,69,525,37
26/02/2020 3:19,0,0,525,0
26/02/2020 3:19,0,0,530,0
26/02/2020 3:22,0,0,530,0
26/02/2020 3:25,16.8,70,530,37
26/02/2020 3:25,16.8,70,527,37
26/02/2020 3:28,16.8,70,527,37
26/02/2020 3:30,16.8,70,527,37
26/02/2020 3:33,16.8,70,531,37
26/02/2020 3:36,16.9,69,531,37
26/02/2020 3:38,16.9,69,531,37
26/02/2020 3:38,16.9,69,529,37
26/02/2020 3:41,16.9,69,529,37
26/02/2020 3:43,16.9,69,529,37
26/02/2020 3:46,16.7,69,529,37
26/02/2020 3:46,16.7,69,527,37
26/02/2020 3:49,16.7,69,527,37
26/02/2020 3:52,16.7,69,527,37
26/02/2020 3:52,16.7,69,530,37
26/02/2020 3:54,16.7,69,530,37
26/02/2020 3:57,16.6,69,530,37
26/02/2020 3:57,16.6,69,525,37
26/02/2020 4:00,16.6,69,525,37
26/02/2020 4:02,16.6,69,525,37
26/02/2020 4:04,16.5,68,525,37
26/02/2020 4:04,16.5,68,528,37
26/02/2020 4:07,16.5,68,528,37
26/02/2020 4:11,16.2,69,528,37
26/02/2020 4:11,16.2,69,526,37
26/02/2020 4:14,16.2,69,526,37
26/02/2020 4:17,16.2,69,526,37
26/02/2020 4:17,16.2,69,527,37
26/02/2020 4:20,16.2,69,527,37
26/02/2020 4:24,16.5,67,527,37
26/02/2020 4:24,16.5,67,527,37
26/02/2020 4:27,16.5,67,527,37
26/02/2020 4:30,16.4,67,527,37
26/02/2020 4:30,16.4,67,525,37
26/02/2020 4:32,16.4,67,525,37
26/02/2020 4:36,16.2,68,525,37
26/02/2020 4:36,16.2,68,529,37
26/02/2020 4:40,16.2,68,529,37
26/02/2020 4:43,16.3,68,529,37
26/02/2020 4:44,16.3,68,527,37
26/02/2020 4:50,16.5,67,527,37
26/02/2020 4:50,16.5,67,527,37
26/02/2020 4:52,16.5,67,527,37
26/02/2020 4:55,16.5,67,527,37
26/02/2020 4:58,16.2,68,527,37
26/02/2020 4:58,16.2,68,525,37
26/02/2020 5:05,16.2,68,525,37
26/02/2020 5:05,16.2,68,527,37
26/02/2020 5:08,16.2,68,527,37
26/02/2020 5:14,16.7,67,527,37
26/02/2020 5:14,16.7,67,526,37
26/02/2020 5:16,16.7,67,526,37
26/02/2020 5:18,16.7,67,526,37
26/02/2020 5:21,16.4,68,526,37
26/02/2020 5:21,16.4,68,530,37
26/02/2020 5:25,16.4,68,530,37
26/02/2020 5:28,16.2,68,530,37
26/02/2020 5:28,16.2,68,533,37
26/02/2020 5:31,16.2,68,533,37
26/02/2020 5:34,16.4,68,533,37
26/02/2020 5:34,16.4,68,526,37
26/02/2020 5:38,16.4,68,526,37
26/02/2020 5:40,16.5,67,526,37
26/02/2020 5:40,16.5,67,531,37
26/02/2020 5:43,16.5,67,531,37
26/02/2020 5:46,16.2,67,531,37
26/02/2020 5:46,16.2,67,526,37
26/02/2020 5:49,16.2,67,526,37
26/02/2020 5:54,16.2,67,526,37
26/02/2020 5:54,16.2,67,527,37
26/02/2020 5:58,16.2,67,527,37
26/02/2020 6:01,16.2,67,527,37
26/02/2020 6:05,16.2,67,527,37
26/02/2020 6:08,16.2,67,527,37
26/02/2020 6:08,16.2,67,529,37
26/02/2020 6:11,16,67,529,37
26/02/2020 6:14,16,67,529,37
26/02/2020 6:14,16,67,527,37
26/02/2020 6:18,0,0,527,0
26/02/2020 6:20,0,0,527,0
26/02/2020 6:20,0,0,531,0
26/02/2020 6:27,16,67,531,42
26/02/2020 6:27,16,67,531,42
26/02/2020 6:30,16,67,531,42
26/02/2020 6:33,16.2,66,531,58
26/02/2020 6:33,16.2,66,528,58
26/02/2020 6:36,16.2,66,528,58
26/02/2020 6:40,16.8,65,528,75
26/02/2020 6:40,16.8,65,526,75
26/02/2020 6:42,16.8,65,526,75
26/02/2020 6:46,16.8,66,526,75
26/02/2020 6:46,16.8,66,532,75
26/02/2020 6:49,16.8,66,532,75
26/02/2020 6:52,17.3,65,532,63
26/02/2020 6:52,17.3,65,529,63
26/02/2020 6:57,17.3,65,529,63
26/02/2020 6:59,17.6,64,529,63
26/02/2020 6:59,17.6,64,532,63
26/02/2020 7:05,17.8,66,532,76
26/02/2020 7:05,17.8,66,525,76
26/02/2020 7:10,17.8,66,525,76
26/02/2020 7:13,17.8,66,533,76
26/02/2020 7:22,20.2,53,533,165
26/02/2020 7:23,20.2,53,530,165
26/02/2020 7:27,20.2,53,530,165
26/02/2020 7:31,23.6,60,530,125
26/02/2020 7:31,23.6,60,526,125
26/02/2020 7:36,25.1,51,526,155
26/02/2020 7:36,25.1,51,518,155
26/02/2020 7:40,25.1,51,518,155
26/02/2020 7:45,22.3,63,518,236
26/02/2020 7:45,22.3,63,515,236
26/02/2020 7:50,25.3,51,515,246
26/02/2020 7:50,25.3,51,511,246
26/02/2020 7:54,25.3,51,511,246
26/02/2020 7:58,21.3,61,511,184
26/02/2020 7:58,21.3,61,507,184
26/02/2020 8:02,21.3,61,507,184
26/02/2020 8:07,24.5,50,507,282
26/02/2020 8:07,24.5,50,521,282
26/02/2020 8:10,24.5,50,521,282
26/02/2020 8:14,21.5,60,521,281
26/02/2020 8:14,21.5,60,530,281
26/02/2020 8:17,21.5,60,530,281
26/02/2020 8:20,22.4,62,530,237
26/02/2020 8:20,22.4,62,531,237
26/02/2020 8:24,22.4,62,531,237
26/02/2020 8:26,22.4,62,525,237
26/02/2020 8:29,23.9,56,525,372
26/02/2020 8:32,23.9,56,525,372
26/02/2020 8:32,23.9,56,520,372
26/02/2020 8:35,24.7,53,520,377
26/02/2020 8:38,24.7,53,520,377
26/02/2020 8:38,24.7,53,516,377
26/02/2020 8:41,21.9,46,516,392
26/02/2020 8:45,21.9,46,516,392
26/02/2020 8:45,21.9,46,506,392
26/02/2020 8:49,24,56,506,356
26/02/2020 8:53,24,56,506,356
26/02/2020 8:53,24,56,502,356
26/02/2020 8:57,24.6,52,502,216
26/02/2020 9:01,24.6,52,502,216
26/02/2020 9:02,24.6,52,500,216
26/02/2020 9:05,21.6,55,500,225
26/02/2020 9:08,21.6,55,500,225
26/02/2020 9:08,21.6,55,502,225
26/02/2020 9:11,22.9,57,502,256
26/02/2020 9:15,22.9,57,502,256
26/02/2020 9:19,24.2,52,502,270
26/02/2020 9:19,24.2,52,504,270
26/02/2020 9:22,24.2,52,504,270
26/02/2020 9:25,24.7,49,504,261
26/02/2020 9:25,24.7,49,501,261
26/02/2020 9:29,24.7,49,501,261
26/02/2020 9:34,22.3,57,501,290
26/02/2020 9:34,22.3,57,500,290
26/02/2020 9:38,22.3,57,500,290
26/02/2020 9:42,24.9,50,500,285
26/02/2020 9:42,24.9,50,501,285
26/02/2020 9:46,24.9,50,501,285
26/02/2020 9:51,21.5,54,501,195
26/02/2020 9:51,21.5,54,500,195
26/02/2020 9:54,21.5,54,500,195
26/02/2020 9:58,23.4,55,500,406
26/02/2020 9:58,23.4,55,501,406
26/02/2020 10:03,23.4,55,501,406
26/02/2020 10:07,23.8,41,501,582
26/02/2020 10:07,23.8,41,499,582
26/02/2020 10:11,23.8,41,499,582
26/02/2020 10:15,23.6,52,499,286
26/02/2020 10:15,23.6,52,497,286
26/02/2020 10:19,23.6,52,497,286
26/02/2020 10:24,22.2,42,497,209
26/02/2020 10:24,22.2,42,492,209
26/02/2020 10:29,22.2,42,492,209
26/02/2020 10:34,24.7,53,492,186
26/02/2020 10:34,24.7,53,499,186
26/02/2020 10:37,24.7,53,499,186
26/02/2020 10:39,22.9,46,499,296
26/02/2020 10:39,22.9,46,500,296
26/02/2020 10:44,22.9,46,500,296
26/02/2020 10:49,25.2,51,500,252
26/02/2020 10:49,25.2,51,499,252
26/02/2020 10:53,25.2,51,499,252
26/02/2020 10:58,25.2,51,500,252
26/02/2020 11:02,23.5,56,500,282
26/02/2020 11:05,24.7,53,500,304
26/02/2020 11:05,24.7,53,500,304
26/02/2020 11:09,24.7,53,500,304
26/02/2020 11:14,21.7,53,500,408
26/02/2020 11:14,21.7,53,496,408
26/02/2020 11:19,21.7,53,496,408
26/02/2020 11:23,21.7,53,497,408
26/02/2020 11:28,22.9,37,497,516
26/02/2020 11:32,22.9,37,497,516
26/02/2020 11:32,22.9,37,495,516
26/02/2020 11:36,25,43,495,655
26/02/2020 11:41,25,43,495,655
26/02/2020 11:41,25,43,496,655
26/02/2020 11:44,22.9,33,496,697
26/02/2020 11:48,22.9,33,496,697
26/02/2020 11:48,22.9,33,493,697
26/02/2020 11:48,22.9,33,493,697
26/02/2020 11:53,23.7,39,493,263
26/02/2020 11:54,23.7,39,497,263
26/02/2020 11:59,22.5,44,497,293
26/02/2020 11:59,22.5,44,499,293
26/02/2020 12:03,22.5,44,499,293
26/02/2020 12:07,24.7,46,499,247
26/02/2020 12:07,24.7,46,499,247
26/02/2020 12:11,24.7,46,499,247
26/02/2020 12:16,23.1,54,499,267
26/02/2020 12:16,23.1,54,499,267
26/02/2020 12:20,23.1,54,499,267
26/02/2020 12:23,24.5,48,499,296
26/02/2020 12:24,24.5,48,499,296
26/02/2020 12:29,22,48,499,247
26/02/2020 12:29,22,48,497,247
26/02/2020 12:34,23.8,55,497,236
26/02/2020 12:34,23.8,55,499,236
26/02/2020 12:38,23.8,55,499,236
26/02/2020 12:41,23.2,46,499,242
26/02/2020 12:42,23.2,46,499,242
26/02/2020 12:46,23.2,46,499,242
26/02/2020 12:50,24,56,499,296
26/02/2020 12:50,24,56,501,296
26/02/2020 12:55,24,56,501,296
26/02/2020 12:59,22.3,44,501,230
26/02/2020 12:59,22.3,44,493,230
26/02/2020 13:03,22.3,44,493,230
26/02/2020 13:07,23.4,57,493,225
26/02/2020 13:07,23.4,57,506,225
26/02/2020 13:12,23.4,57,506,225
26/02/2020 13:15,23.4,57,616,225
26/02/2020 13:18,22.8,42,616,853
26/02/2020 13:23,22.8,42,616,853
26/02/2020 13:23,22.8,42,611,853
26/02/2020 13:28,24.8,39,611,765
26/02/2020 13:31,24.8,39,611,765
26/02/2020 13:35,23.7,31,611,780
26/02/2020 13:35,23.7,31,570,780
26/02/2020 13:38,23.7,31,570,780
26/02/2020 13:42,23.1,29,570,196
26/02/2020 13:42,23.1,29,549,196
26/02/2020 13:48,23.9,38,549,370
26/02/2020 13:48,23.9,38,539,370
26/02/2020 13:53,23.6,37,539,337
26/02/2020 13:53,23.6,37,537,337
26/02/2020 13:57,23.6,37,537,337
26/02/2020 14:02,24.9,40,537,496
26/02/2020 14:02,24.9,40,532,496
26/02/2020 14:06,24.9,40,532,496
26/02/2020 14:11,22.7,32,532,281
26/02/2020 14:11,22.7,32,524,281
26/02/2020 14:15,22.7,32,524,281
26/02/2020 14:19,24.9,36,524,612
26/02/2020 14:19,24.9,36,511,612
26/02/2020 14:26,23.4,29,511,576
26/02/2020 14:26,23.4,29,510,576
26/02/2020 14:30,23.4,29,510,576
26/02/2020 14:33,22.8,26,510,463
26/02/2020 14:33,22.8,26,506,463
26/02/2020 14:37,22.8,26,506,463
26/02/2020 14:43,24.2,34,506,151
26/02/2020 14:43,24.2,34,500,151
26/02/2020 14:47,24.2,34,500,151
26/02/2020 14:52,22.9,45,500,125
26/02/2020 14:52,22.9,45,501,125
26/02/2020 14:56,22.9,45,501,125
26/02/2020 14:59,25.2,44,501,426
26/02/2020 14:59,25.2,44,500,426
26/02/2020 15:04,25.2,44,500,426
26/02/2020 15:08,22.9,45,500,477
26/02/2020 15:08,22.9,45,501,477
26/02/2020 15:13,22.9,45,501,477
26/02/2020 15:18,23.5,37,501,436
26/02/2020 15:18,23.5,37,497,436
26/02/2020 15:21,23.5,37,497,436
26/02/2020 15:26,23.1,48,497,146
26/02/2020 15:26,23.1,48,500,146
26/02/2020 15:34,23.6,44,500,392
26/02/2020 15:34,23.6,44,500,392
26/02/2020 15:38,23.6,44,500,392
26/02/2020 15:43,24.8,48,500,206
26/02/2020 15:43,24.8,48,496,206
26/02/2020 15:48,24.8,48,496,206
26/02/2020 15:53,23.8,52,496,391
26/02/2020 15:53,23.8,52,499,391
26/02/2020 15:58,25.3,44,499,376
26/02/2020 15:59,25.3,44,490,376
26/02/2020 16:03,25.3,44,490,376
26/02/2020 16:08,23.7,50,490,312
26/02/2020 16:08,23.7,50,490,312
26/02/2020 16:13,23.7,50,490,312
26/02/2020 16:17,22.3,40,490,265
26/02/2020 16:18,22.3,40,486,265
26/02/2020 16:22,22.3,40,486,265
26/02/2020 16:26,24.5,53,486,225
26/02/2020 16:27,24.5,53,486,225
26/02/2020 16:30,24.5,53,486,225
26/02/2020 16:33,22.4,44,486,207
26/02/2020 16:33,22.4,44,490,207
26/02/2020 16:38,22.4,44,490,207
26/02/2020 16:42,24.1,55,490,156
26/02/2020 16:43,24.1,55,490,156
26/02/2020 16:47,24.1,55,490,156
26/02/2020 16:51,22.5,46,490,125
26/02/2020 16:51,22.5,46,484,125
26/02/2020 16:58,22.5,59,484,117
26/02/2020 16:58,22.5,59,492,117
26/02/2020 17:02,22.5,59,492,117
26/02/2020 17:06,23.9,57,492,107
26/02/2020 17:06,23.9,57,492,107
26/02/2020 17:10,23.9,57,492,107
26/02/2020 17:15,23.6,58,492,83
26/02/2020 17:15,23.6,58,488,83
26/02/2020 17:18,23.6,58,488,83
26/02/2020 17:21,23.5,58,488,71
26/02/2020 17:21,23.5,58,486,71
26/02/2020 17:24,23.5,58,486,71
26/02/2020 17:27,23.3,59,486,54
26/02/2020 17:27,23.3,59,485,54
26/02/2020 17:29,23.3,59,485,54
26/02/2020 17:32,23,60,485,37
26/02/2020 17:32,23,60,492,37
26/02/2020 17:35,23,60,492,37
26/02/2020 17:38,22.4,61,492,37
26/02/2020 17:38,22.4,61,490,37
26/02/2020 17:41,22.4,61,490,37
26/02/2020 17:44,22.3,62,490,37
26/02/2020 17:44,22.3,62,495,37
26/02/2020 17:48,22.3,62,495,37
26/02/2020 17:51,21.9,63,495,37
26/02/2020 17:52,21.9,63,510,37
26/02/2020 17:56,21.9,63,510,37
26/02/2020 17:59,21.6,64,510,63
26/02/2020 17:59,21.6,64,558,63
26/02/2020 18:04,22.4,62,558,43
26/02/2020 18:05,22.4,62,556,43
26/02/2020 18:09,22.4,62,556,43
26/02/2020 18:14,20.4,53,556,35
26/02/2020 18:14,20.4,53,554,35
26/02/2020 18:19,20.4,53,554,35
26/02/2020 18:22,23.2,61,554,52
26/02/2020 18:22,23.2,61,551,52
26/02/2020 18:27,23.2,61,551,52
26/02/2020 18:31,21,52,551,35
26/02/2020 18:31,21,52,545,35
26/02/2020 18:35,21,52,545,35
26/02/2020 18:39,22.6,62,545,37
26/02/2020 18:39,22.6,62,556,37
26/02/2020 18:43,22.6,62,556,37
26/02/2020 18:46,23.6,51,556,60
26/02/2020 18:46,23.6,51,556,60
26/02/2020 18:50,23.6,51,556,60
26/02/2020 18:54,21.2,65,556,36
26/02/2020 18:54,21.2,65,546,36
26/02/2020 18:58,21.2,65,546,36
26/02/2020 19:03,24.9,51,546,37
26/02/2020 19:03,24.9,51,543,37
26/02/2020 19:07,24.9,51,543,37
26/02/2020 19:10,13.9,38,543,27
26/02/2020 19:11,13.9,38,540,27
26/02/2020 19:15,13.9,38,540,27
26/02/2020 19:19,15.5,58,540,32
26/02/2020 19:19,15.5,58,547,32
26/02/2020 19:22,15.5,58,547,32
26/02/2020 19:27,16.9,60,547,37
26/02/2020 19:27,16.9,60,542,37
26/02/2020 19:30,16.9,60,542,37
26/02/2020 19:33,17.4,60,542,37
26/02/2020 19:33,17.4,60,546,37
26/02/2020 19:36,17.4,60,546,37
26/02/2020 19:40,17.2,56,546,37
26/02/2020 19:40,17.2,56,541,37
26/02/2020 19:44,17.2,56,541,37
26/02/2020 19:48,15.1,60,541,37
26/02/2020 19:48,15.1,60,545,37
26/02/2020 19:52,15.1,60,545,37
26/02/2020 19:56,16.1,67,545,37
26/02/2020 19:56,16.1,67,547,37
26/02/2020 19:59,16.1,67,547,37
26/02/2020 20:02,17,65,547,37
26/02/2020 20:03,17,65,542,37
26/02/2020 20:05,17,65,542,37
26/02/2020 20:07,17,65,542,37
26/02/2020 20:10,17.3,65,542,37
26/02/2020 20:10,17.3,65,542,37
26/02/2020 20:12,17.3,65,542,37
26/02/2020 20:15,17.4,65,542,37
26/02/2020 20:15,17.4,65,542,37
26/02/2020 20:19,17.4,65,542,37
26/02/2020 20:21,17.5,64,542,37
26/02/2020 20:21,17.5,64,537,37
26/02/2020 20:24,17.5,64,537,37
26/02/2020 20:27,17.1,61,537,37
26/02/2020 20:27,17.1,61,541,37
26/02/2020 20:31,17.1,61,541,37
26/02/2020 20:34,14.8,61,541,37
26/02/2020 20:34,14.8,61,538,37
26/02/2020 20:38,14.8,61,538,37
26/02/2020 20:41,15.9,70,538,37
26/02/2020 20:42,15.9,70,543,37
26/02/2020 20:45,15.9,70,543,37
26/02/2020 20:47,16.6,70,543,37
26/02/2020 20:47,16.6,70,542,37
26/02/2020 20:51,16.6,70,542,37
26/02/2020 20:54,16.9,69,542,37
26/02/2020 20:55,16.9,69,538,37
26/02/2020 20:57,16.9,69,538,37
26/02/2020 21:00,17.2,68,538,37
26/02/2020 21:01,17.2,68,538,37
26/02/2020 21:03,17.2,68,538,37
26/02/2020 21:07,17.4,66,538,37
26/02/2020 21:07,17.4,66,537,37
26/02/2020 21:09,17.4,66,537,37
26/02/2020 21:11,17.4,66,537,37
26/02/2020 21:14,17.4,66,537,37
26/02/2020 21:14,17.4,66,537,37
26/02/2020 21:17,17.4,66,537,37
26/02/2020 21:20,17.3,66,537,37
26/02/2020 21:20,17.3,66,538,37
26/02/2020 21:23,17.3,66,538,37
26/02/2020 21:25,17.4,65,538,37
26/02/2020 21:25,17.4,65,539,37
26/02/2020 21:28,17.4,65,539,37
26/02/2020 21:31,17.3,65,539,37
26/02/2020 21:31,17.3,65,539,37
26/02/2020 21:34,17.3,65,539,37
26/02/2020 21:36,17.4,65,539,37
26/02/2020 21:36,17.4,65,538,37
26/02/2020 21:39,17.4,65,538,37
26/02/2020 21:41,17.4,65,538,37
26/02/2020 21:43,17.4,65,538,37
26/02/2020 21:43,17.4,65,537,37
26/02/2020 21:46,17.4,65,537,37
26/02/2020 21:48,17.4,65,537,37
26/02/2020 21:51,17.6,65,537,37
26/02/2020 21:51,17.6,65,537,37
26/02/2020 21:53,17.6,65,537,37
26/02/2020 21:55,17.6,65,537,37
26/02/2020 21:58,17.4,65,537,37
26/02/2020 21:58,17.4,65,537,37
26/02/2020 22:01,17.4,65,537,37
26/02/2020 22:03,17.4,65,537,37
26/02/2020 22:03,17.4,65,538,37
26/02/2020 22:06,17.4,65,538,37
26/02/2020 22:09,17.4,65,538,37
26/02/2020 22:09,17.4,65,537,37
26/02/2020 22:13,17.4,65,537,37
26/02/2020 22:16,17.5,65,537,37
26/02/2020 22:16,17.5,65,538,37
26/02/2020 22:19,17.5,65,538,37
26/02/2020 22:21,17.3,65,538,37
26/02/2020 22:22,17.3,65,537,37
26/02/2020 22:24,17.3,65,537,37
26/02/2020 22:27,17.2,65,537,37
26/02/2020 22:27,17.2,65,537,37
26/02/2020 22:29,17.2,65,537,37
26/02/2020 22:32,17.3,65,537,37
26/02/2020 22:32,17.3,65,537,37
26/02/2020 22:35,17.3,65,537,37
26/02/2020 22:38,17.3,65,537,37
26/02/2020 22:38,17.3,65,541,37
26/02/2020 22:41,17.3,65,541,37
26/02/2020 22:44,17.2,65,541,37
26/02/2020 22:44,17.2,65,537,37
26/02/2020 22:47,17.2,65,537,37
26/02/2020 22:49,17.2,65,537,37
26/02/2020 22:50,17.2,65,538,37
26/02/2020 22:52,17.2,65,538,37
26/02/2020 22:54,17.2,65,538,37
26/02/2020 22:56,17.2,64,538,37
26/02/2020 22:57,17.2,64,537,37
26/02/2020 22:59,17.2,64,537,37
26/02/2020 23:02,17.1,65,537,37
26/02/2020 23:02,17.1,65,537,37
26/02/2020 23:05,17.1,65,537,37
26/02/2020 23:08,17.1,65,537,37
26/02/2020 23:11,16.9,65,537,37
26/02/2020 23:14,16.9,65,537,37
26/02/2020 23:14,16.9,65,537,37
26/02/2020 23:17,17.2,64,537,37
26/02/2020 23:20,17.2,64,537,37
26/02/2020 23:20,17.2,64,537,37
26/02/2020 23:24,17.3,63,537,37
26/02/2020 23:27,17.3,63,537,37
26/02/2020 23:27,17.3,63,538,37
26/02/2020 23:30,17.2,63,538,37
26/02/2020 23:32,17.2,63,538,37
26/02/2020 23:32,17.2,63,540,37
26/02/2020 23:35,17,64,540,37
26/02/2020 23:38,17,64,540,37
26/02/2020 23:38,17,64,538,37
26/02/2020 23:41,16.9,64,538,37
26/02/2020 23:44,16.9,64,538,37
26/02/2020 23:44,16.9,64,538,37
26/02/2020 23:46,16.9,64,538,37
26/02/2020 23:48,17,63,538,37
26/02/2020 23:50,17,63,538,37
26/02/2020 23:51,17,63,540,37
26/02/2020 23:53,17,63,540,37
26/02/2020 23:56,16.9,63,540,37
26/02/2020 23:57,16.9,63,539,37
27/02/2020 0:00,16.9,63,539,37
27/02/2020 0:02,16.8,63,539,37
27/02/2020 0:02,16.8,63,538,37
27/02/2020 0:06,16.8,63,538,37
27/02/2020 0:09,17,63,538,37
27/02/2020 0:09,17,63,538,37
27/02/2020 0:13,17,63,538,37
27/02/2020 0:15,17.1,62,538,37
27/02/2020 0:15,17.1,62,538,37
27/02/2020 0:19,17.1,62,538,37
27/02/2020 0:21,16.9,63,538,37
27/02/2020 0:21,16.9,63,538,37
27/02/2020 0:24,16.9,63,538,37
27/02/2020 0:27,16.8,63,538,37
27/02/2020 0:27,16.8,63,537,37
27/02/2020 0:31,16.8,63,537,37
27/02/2020 0:33,16.9,63,537,37
27/02/2020 0:34,16.9,63,536,37
27/02/2020 0:36,16.9,63,536,37
27/02/2020 0:40,16.7,63,536,37
27/02/2020 0:40,16.7,63,538,37
27/02/2020 0:43,16.7,63,538,37
27/02/2020 0:46,16.8,63,538,37
27/02/2020 0:46,16.8,63,537,37
27/02/2020 0:50,16.8,63,537,37
27/02/2020 0:53,17,62,537,37
27/02/2020 0:53,17,62,537,37
27/02/2020 0:55,17,62,537,37
27/02/2020 0:59,16.7,63,537,37
27/02/2020 0:59,16.7,63,536,37
27/02/2020 1:02,16.7,63,536,37
27/02/2020 1:04,16.7,63,536,37
27/02/2020 1:04,16.7,63,537,37
27/02/2020 1:08,16.7,63,537,37
27/02/2020 1:11,16.7,63,537,37
27/02/2020 1:11,16.7,63,537,37
27/02/2020 1:15,16.7,63,537,37
27/02/2020 1:15,16.7,63,537,37
27/02/2020 1:18,16.8,63,537,37
27/02/2020 1:21,16.8,63,537,37
27/02/2020 1:21,16.8,63,535,37
27/02/2020 1:24,16.7,63,535,37
27/02/2020 1:27,16.7,63,535,37
27/02/2020 1:27,16.7,63,536,37
27/02/2020 1:34,16.8,62,536,37
27/02/2020 1:37,16.8,62,536,37
27/02/2020 1:38,16.8,62,538,37
27/02/2020 1:41,16.4,63,538,37
27/02/2020 1:44,16.4,63,538,37
27/02/2020 1:44,16.4,63,538,37
27/02/2020 1:48,16.4,63,538,37
27/02/2020 1:51,16.4,63,538,37
27/02/2020 1:51,16.4,63,537,37
27/02/2020 1:54,16.7,62,537,37
27/02/2020 1:57,16.7,62,537,37
27/02/2020 1:57,16.7,62,535,37
27/02/2020 2:00,16.2,63,535,37
27/02/2020 2:04,16.2,63,535,37
27/02/2020 2:04,16.2,63,536,37
27/02/2020 2:07,16.3,63,536,37
27/02/2020 2:10,16.3,63,536,37
27/02/2020 2:10,16.3,63,537,37
27/02/2020 2:13,16.4,62,537,37
27/02/2020 2:16,16.4,62,537,37
27/02/2020 2:16,16.4,62,537,37
27/02/2020 2:19,16.4,63,537,37
27/02/2020 2:22,16.4,63,537,37
